,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
19,26,68.1076,0.006,0.4035,80.8769,0.153,0.5541,174.7075,1.1206,1.4886,282.3498,3.6156,0.0722,304.6739,2.7811,0.0163,367.7044,0.7811,0.361,372.9258,3.2816,0.3267,450.6552,9.8114,0.7759,2081.2018,498.8603,72.0564,-13.59105084,1.845393,1.153755,158.708755
20,27,89.8379,0.0066,0.4015,97.1377,0.0605,0.5624,174.5305,1.2891,1.2745,285.9856,3.2312,0.0874,303.4963,2.6644,0.0356,383.9304,7.0369,0.1939,427.5313,1.8325,0.7687,482.3893,4.1059,0.5089,1973.4112,485.2206,68.1466,-12.41453234,1.850425,1.168568,161.380508
21,28,79.245,0.0193,0.4608,86.8849,0.0339,0.3731,173.4837,1.2498,1.0496,296.2683,2.7767,0.055,308.7656,2.8445,0.0613,335.5288,2.2125,0.1763,349.2528,3.4775,0.1258,441.8735,6.1358,0.5365,2077.2613,453.4226,68.4259,-13.09004685,1.876632,1.153926,164.965485
22,29,88.11,0.0045,0.5045,112.7166,0.0464,0.4479,175.8364,1.0822,1.1628,306.7909,3.6299,0.2086,314.5026,2.9032,0.0291,338.7654,6.4089,0.0732,406.3811,0.3888,0.0836,487.0484,3.8641,0.4077,1954.2393,426.6638,70.0151,-14.86803369,1.900025,1.170053,157.493057
23,30,78.9521,0.0042,0.4767,116.7615,0.091,0.5271,176.8662,1.1832,1.4193,290.4926,6.1945,0.3084,317.6063,3.0367,0.036,342.3668,3.6875,0.0177,398.8885,0.1128,0.189,457.2186,2.7705,0.7814,1976.9671,407.2537,76.4259,-14.06726818,1.942073,1.165655,144.269608
24,31,67.0118,0.0079,0.4782,111.2816,0.1609,0.4804,174.4468,1.029,1.4237,295.0042,5.9513,0.2462,312.416,3.3157,0.0588,349.6448,3.7333,0.0416,374.128,0.4259,0.2373,421.4611,3.9106,0.7462,2018.5488,386.8096,72.3261,-12.69000923,1.947095,1.159586,136.20546
25,32,72.8123,0.0068,0.5396,119.3327,0.1188,0.5271,177.224,0.6784,1.3489,343.2424,4.5415,0.3578,351.7529,2.7189,0.0121,384.0919,4.5074,0.1491,413.7185,0.2559,0.2846,495.8207,9.0641,1.0273,1922.7058,425.2348,61.8848,-10.45268507,1.881029,1.172679,135.976471
26,33,28.6463,0.0497,0.4426,100.4176,0.0521,0.4532,178.9199,0.5253,0.9712,318.821,1.4912,0.0667,340.5864,2.2013,0.1492,355.4438,1.4865,0.072,397.9795,1.4903,0.3004,533.757,14.0356,1.4521,2069.5936,467.7013,50.8794,-10.14332264,1.801127,1.154135,144.116165
27,34,62.5373,0.0531,0.5094,104.7267,0.018,0.4723,174.7749,0.5134,1.0749,326.2598,2.7824,0.0237,344.8472,2.6892,0.1242,388.2712,0.9454,0.1062,415.8706,2.4785,0.3068,575.9468,10.9343,1.5523,1978.2832,476.3776,46.7932,-12.24039831,1.771691,1.168342,152.829727
28,35,79.5787,0.0247,0.5129,96.6464,0.0152,0.4129,172.2678,0.7557,1.2559,326.3134,2.8428,0.1454,331.1914,2.734,0.0105,371.7122,0.979,0.1295,378.8255,4.0237,0.1632,510.4018,8.639,1.1632,2022.7188,456.0601,53.229,-14.09814167,1.827792,1.161322,156.886307
