,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
19,20,106.6096,0.1614,1.7574,116.77,0.0219,1.2242,185.1542,1.907,6.0412,310.2878,14.3314,0.5313,326.2295,9.0597,0.2215,534.2389,4.9921,5.6628,548.2313,9.416,0.7723,619.6833,44.2648,4.3224,1901.4179,1164.6452,125.0575,-9.632843259,1.705221,1.178223,162.731995
20,21,101.5534,0.0882,1.9497,112.8276,0.0853,1.0223,185.5191,2.0924,4.4956,310.1221,12.3469,1.6193,314.406,10.829,0.5668,534.9663,7.4816,3.2859,545.5435,5.6593,4.0738,646.6622,37.0168,3.9788,1916.5995,1171.3331,101.9007,-9.247803123,1.680301,1.177726,167.069275
21,22,99.5058,0.0857,1.7385,108.6488,0.1367,1.0267,182.5126,2.7518,3.7356,285.8561,10.6629,0.2593,323.5307,12.8147,1.4672,520.5586,5.6079,2.2513,553.7917,9.044,4.8721,632.5966,35.556,5.2315,1940.2215,1159.8819,112.2934,-7.190888094,1.687433,1.173718,165.605606
22,24,105.4513,0.1161,1.5382,118.7267,0.0345,1.6395,189.3448,1.8461,5.4045,308.7724,11.3372,1.3038,348.132,10.6664,0.5986,519.5601,6.7783,4.1106,569.9093,11.9902,2.3848,606.201,35.7938,3.1123,1904.1887,1208.4092,119.3369,-10.14802897,1.706609,1.177782,167.609482
23,25,105.7927,0.2038,1.9595,116.2515,0.046,1.8055,186.3726,0.9796,6.8326,337.0201,12.2779,1.5457,367.1191,9.8715,0.6669,532.9824,11.6387,3.6397,565.3111,6.7713,1.2595,615.773,40.4622,4.089,1908.3366,1248.8883,116.5512,-10.64834269,1.698512,1.177629,168.575653
24,26,102.4419,0.2464,2.1296,109.4076,0.0629,2.1395,185.0665,0.9031,6.0184,341.6849,11.4844,2.0586,364.0632,9.8166,0.732,537.699,10.4716,3.4276,563.265,7.0084,1.3961,625.2997,42.1824,5.552,1921.0482,1266.9049,112.7917,-11.25771765,1.688069,1.176379,168.548889
25,27,104.9604,0.1541,2.0248,109.4021,0.0376,1.8666,186.842,1.0733,5.6735,338.0209,13.3685,0.8409,353.3904,10.2129,0.9641,543.7228,6.7603,1.3643,561.3763,6.5255,0.5574,623.1637,38.8806,5.7745,1915.4989,1252.6834,108.0721,-12.9016056,1.685217,1.177553,171.118713
26,28,113.041,0.0236,2.0807,115.1056,0.0283,2.008,189.7473,0.8074,6.495,345.3108,11.1725,0.6333,362.5534,10.5075,0.6133,548.3091,9.1038,2.8156,567.1792,6.2362,2.2492,607.3737,44.63,5.53,1879.8552,1263.9809,121.1838,-14.47427116,1.702888,1.181444,167.51767
27,29,109.3945,0.0179,2.0429,114.9609,0.0222,2.039,183.0849,1.2651,7.1572,321.4334,11.6578,0.5984,351.8752,12.945,0.6584,539.6435,9.4044,2.1795,555.2505,4.7711,1.1071,596.1518,44.512,4.3346,1885.1522,1233.4247,127.8877,-14.19597048,1.713669,1.180191,166.130096
28,30,108.6658,0.0777,2.055,114.8696,0.0123,1.85,180.4435,1.2784,6.6201,301.2631,11.9851,0.4573,341.4375,12.6434,0.5451,553.304,6.0615,2.3203,556.1475,9.0519,2.4819,604.1586,38.3665,4.2234,1870.5395,1241.5909,120.511,-15.0789398,1.698826,1.183367,171.842926
29,31,104.9543,0.2199,2.1547,110.5733,0.0297,1.7772,182.386,1.9028,4.6248,299.5352,12.111,0.7377,348.7186,13.4463,1.5538,546.1997,4.0118,1.6744,558.7881,11.0541,1.7078,592.2517,39.3648,4.8111,1919.4314,1200.6444,114.4836,-12.3272457,1.696403,1.176312,176.253326
30,32,105.5271,0.1482,1.957,112.2647,0.0325,1.7808,183.2006,1.8605,3.5088,314.2753,13.512,0.8197,342.2208,9.7946,0.7716,548.9701,4.6696,1.3634,565.188,10.0118,1.2769,590.1767,45.2167,5.8753,1920.0536,1174.1167,110.5581,-10.41428146,1.697637,1.175835,172.466354
31,33,103.2573,0.0596,1.7209,114.3981,0.0317,1.6955,189.1033,1.5964,3.1871,312.8122,15.836,0.8942,343.5929,9.2321,0.9862,545.2647,4.2956,0.8706,570.7311,12.3241,3.3866,608.9356,36.4098,6.1493,1920.1106,1171.3216,99.9536,-11.60742898,1.68365,1.176741,176.843002
32,34,100.1727,0.1015,1.7962,114.9256,0.0963,1.6323,189.8593,1.0305,4.0538,334.7219,13.9827,0.4053,355.3883,10.5585,0.6813,547.7482,4.2696,0.5721,570.5562,9.2618,1.6562,625.2039,38.6582,5.6418,1930.9562,1151.5161,97.3458,-12.53488876,1.676302,1.175572,174.014618
33,35,101.9057,0.1153,1.7615,117.8301,0.0742,1.497,189.7621,0.8118,3.8894,356.7758,13.0816,0.5104,368.5423,9.5609,0.9348,553.8376,4.9548,0.7028,574.0476,8.555,3.6548,626.3483,45.489,5.6163,1927.814,1116.3211,96.6353,-11.37506202,1.681344,1.175426,169.192429
34,36,102.6242,0.0963,1.6512,117.2558,0.0996,1.5476,194.5386,1.127,2.8579,339.6796,12.1467,0.671,365.8302,11.31,0.7154,552.9121,4.7272,0.5469,572.4739,9.8658,1.3461,619.2611,41.3882,5.3266,1939.5812,1107.071,91.0249,-11.4364325,1.682237,1.173795,172.01564
35,37,109.4021,0.0661,1.7444,118.8217,0.0948,1.3958,186.1089,1.7047,2.9864,329.4096,11.5202,0.6395,360.7399,12.3154,0.7045,563.4933,6.3825,0.508,579.9442,8.9114,1.8029,608.1607,31.4824,6.3581,1906.8322,1102.3024,87.9745,-11.50269756,1.681551,1.178682,177.68927
36,38,112.0806,0.0357,1.8694,115.0417,0.0812,1.3436,184.2495,1.6479,4.788,330.9279,13.6248,0.7207,352.4613,9.2408,0.9825,547.7747,7.402,1.6152,570.8421,10.0409,2.9019,598.4081,34.5617,4.2356,1904.0227,1091.0889,97.0008,-11.15323724,1.699968,1.177787,169.227921
37,39,112.6753,0.0253,1.8161,118.3905,0.0632,1.1332,181.0162,1.5865,5.765,310.668,13.1309,0.9122,344.7751,11.1889,1.1293,543.1243,7.0259,2.647,565.4981,9.0511,4.1802,606.3034,32.3186,2.8127,1886.1094,1077.7548,99.3438,-11.95293598,1.703784,1.180468,167.619675
38,40,109.6005,0.0517,1.5389,118.7446,0.0507,1.0307,178.3468,2.0617,4.1777,293.9571,13.8602,0.3262,332.3707,10.751,0.662,539.4859,5.6834,4.0292,554.0745,6.7076,2.3098,618.0044,31.5344,3.4998,1894.339,1033.3959,90.5596,-11.34531805,1.697567,1.179839,168.109421
39,41,106.1068,0.0848,1.4385,118.7391,0.0356,1.0797,182.8306,2.0846,3.2615,303.8292,13.9439,0.7581,336.7432,9.2229,0.6387,534.9027,5.2729,4.7801,545.3489,6.6765,0.6414,625.8012,38.6893,3.371,1922.6026,1010.4373,86.1181,-9.039030546,1.697428,1.17554,163.752319
40,42,104.281,0.1555,1.3081,118.4693,0.0493,1.2335,188.8899,1.6856,3.3925,327.8762,12.3162,1.7608,349.2621,9.3615,0.5997,536.6486,4.8586,6.8244,547.5154,10.0291,1.5809,642.4009,41.1179,6.685,1928.0987,991.5469,83.5175,-4.602409344,1.688811,1.174831,160.723892
41,43,100.592,0.1007,1.2513,111.8009,0.1359,1.2232,187.7548,1.5119,3.8678,335.9121,10.62,1.6262,343.5765,11.0993,1.6547,526.27,10.639,6.3128,545.9905,5.7746,1.2158,657.7274,33.6116,4.7924,1946.6373,1044.5193,76.3416,-6.061809351,1.671275,1.17344,164.31105
42,44,113.8768,0.0141,1.388,118.2548,0.1611,0.8167,192.0461,1.8129,3.1104,325.2935,10.4778,0.2523,356.0451,12.8516,0.4307,542.5791,4.118,4.9246,562.4432,10.6851,2.9308,645.5395,30.6944,4.9777,1921.4496,1017.6758,86.0576,-6.761734005,1.679918,1.176671,165.714081
