,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
19,46,119.3233,8.0054,1590.8182,130.8977,2.499,498.1691,136.4476,8.369,1886.6614,310.9064,5.7254,66.6998,330.1528,26.1571,5345.2978,366.5368,3.4071,15.9142,421.2304,1.8514,14.5305,541.8199,7.5627,473.7896,1472.2683,1115.3865,101908.9125,-14.75037556,1.75591,1.211103,136.841583
20,47,109.0062,0.0226,2.5695,133.7722,0.0064,6.9281,179.4414,0.1992,121.2838,294.4753,5.8196,3.5828,318.7309,0.4276,23.7339,342.4264,4.3657,1.5166,368.7078,2.8782,0.9588,455.2092,10.4025,331.1494,1715.2472,668.4808,7106.1931,-8.874999432,1.822787,1.182719,139.764511
21,48,122.7779,0.1346,2.1228,146.9962,0.1067,2.673,182.4922,1.8104,9.4447,332.2718,3.3207,1.7679,348.3038,2.412,52.023,362.3353,1.0649,0.6716,390.3544,3.4332,138.3562,538.7696,5.8212,128.845,1539.3396,1031.0876,252.7036,-9.461909535,1.77253,1.202969,143.545242
22,49,87.1182,0.0164,1.1858,127.0625,0.0459,2.9217,189.506,0.1327,6.2013,230.9373,0.1853,0.6664,298.6957,4.4027,0.3355,339.9286,3.7343,0.9019,456.0107,0.8434,76.5931,609.7797,0.0588,43.3051,1787.4958,523.5558,89.5719,-10.50514491,1.664846,1.180458,148.295792
23,52,64.093,0.1753,1.258,100.5193,0.2197,1.6384,151.3647,0.4484,0.8243,237.7295,0.8279,0.114,291.0605,5.0673,0.304,316.8557,3.0854,1.608,369.4567,10.6537,1.3409,422.3508,24.6813,35.9131,1798.7695,533.2212,28.1059,-21.75137913,1.798172,1.181307,143.301102
24,53,117.3707,0.0794,1.5433,139.9916,0.1373,2.0423,156.4475,0.466,1.7479,312.6995,4.9079,0.7355,322.8692,10.4742,47.6708,351.6615,7.392,5.1726,403.0678,1.4653,22.8847,514.7041,4.1803,23.1348,1503.7749,669.278,697.8187,-16.49635939,1.839167,1.220547,141.698441
25,55,96.4852,0.2325,1.0386,107.806,0.4816,1.026,159.4352,0.1709,2.1606,302.927,4.7202,0.5486,336.8568,4.2668,0.2325,381.7677,0.5868,0.5137,414.388,1.3728,3.7001,554.2375,33.5828,6.3639,1611.9027,353.6395,1.7047,-31.00269631,1.702175,1.216377,146.059402
26,57,81.3039,0.3806,0.9467,115.0677,0.5591,0.8574,178.422,0.1274,1.9478,291.1815,4.79,0.3754,349.2945,4.3325,0.7749,395.8143,0.2763,0.9499,446.1756,1.1451,3.4108,596.7826,31.9855,5.7224,1572.5123,347.7367,1.6281,-24.39853007,1.665216,1.220487,140.463562
27,58,-30.1918,0.0774,1.3394,119.1979,0.3052,0.9627,172.4786,0.2652,0.4043,213.4386,0.1121,0.6569,280.9489,2.343,0.9527,315.8654,4.1774,0.5526,392.3749,7.2612,5.6014,450.9817,20.505,37.004,1827.5249,563.1559,31.4558,-18.03281762,1.798528,1.17371,133.019821
28,59,-243.8892,510.2831,738201.4407,124.0755,3.7496,7512.1557,162.2813,3.6619,4077.5969,219.0232,31.4006,27310.5393,298.0106,3.4007,38.0194,354.3287,4.9296,40.7652,418.233,60.8555,79258.8531,453.6023,96.8061,101748.2967,1179.4211,2558.0693,3281253.004,-7.396334868,1.854608,1.221362,127.38884
29,60,96.4599,0.0476,0.6032,141.2675,0.274,0.6334,184.1811,0.4091,1.1261,240.6423,3.26,1.4546,284.6586,3.1237,0.101,296.7806,3.1752,0.2982,327.146,4.5174,0.1737,438.8114,0.8057,1.6531,1831.3563,429.7986,21.6796,-5.259098559,1.834789,1.169447,129.330353
30,64,-100.8185,0.6631,1.4162,-59.1067,0.7616,0.9874,154.7299,0.6322,0.6245,172.3264,2.2014,2.2648,236.3681,1.5043,1.2676,315.0853,5.5699,0.243,352.5263,8.6024,3,450.0109,16.6849,51.2802,1897.1973,672.2521,29.7464,-23.13510143,1.776695,1.166014,140.772202
31,65,115.224,0.1157,1.8502,125.9224,0.1883,3.9137,166.1015,0.4718,1.6461,305.0237,4.3747,0.9541,339.6694,7.0066,15.463,386.2121,10.7821,11.5316,420.7886,2.5191,13.4917,516.8272,4.9273,27.4942,1478.4777,615.233,174.5648,-22.56569886,1.803465,1.23002,143.272385
32,66,-20.9141,0.16,1.6855,41.8816,0.4486,1.9682,158.5782,0.3655,1.7616,209.1403,0.2043,0.3016,238.3763,2.7555,0.7077,294.0961,6.3411,0.2443,364.6051,10.9852,2.0364,439.9464,31.3184,31.726,1859.0477,582.6016,24.4537,-33.36709124,1.789904,1.17638,150.723755
33,71,111.1021,0.0796,2.1529,130.4719,0.0446,2.0223,161.0711,0.0911,1.5184,278.2446,4.7568,1.083,309.6498,4.4975,0.8037,341.7221,0.7829,6.5202,398.7658,13.0697,16.8802,531.4582,6.1948,32.1538,1584.5971,649.2175,84.831,-17.8744341,1.760695,1.213027,152.055817
