,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
19,21,-60.9571,27.768,7.5445,73.9831,0.7211,1.6171,168.9077,9.3735,13.8723,217.3595,8.4278,4.2259,304.9075,6.7676,1.3287,326.2984,0.3695,10.1688,361.6906,5.4968,3.5,433.7256,21.5775,22.6572,1116.1,433.6568,420.9357,3.889808988,1.994569,1.292482,116.682678
20,22,-40.5079,10.8876,6.8868,75.3549,1.2666,1.4043,163.3059,2.9392,1.4622,176.749,7.9539,18.6686,253.011,0.619,6.1646,329.1098,7.8273,5.0417,356.7956,2.8716,0.9911,388.2941,11.3722,16.1691,1367.472,410.0508,644.6937,4.762424394,2.024595,1.246603,120.744781
21,23,-92.5939,41.0861,25.015,97.777,1.193,2.9174,150.1752,21.6385,28.4024,184.3622,0.6484,33.5155,309.6584,0.0243,4.3083,336.8948,6.5444,8.0678,379.6283,4.3223,1.8547,453.585,13.797,16.2874,1080.0405,591.4314,1710.5213,0.289846869,2.014673,1.295675,125.227531
22,24,-64.4588,23.0692,13.6551,83.5093,0.4076,3.6757,144.3554,21.1535,4.7265,173.2515,3.2175,46.5597,251.7789,0.3301,1.1948,325.1695,6.2507,6.4248,382.934,3.7433,4.1825,424.3796,6.9667,7.1028,1226.0271,622.4585,1738.2738,0.008973393,2.013688,1.268679,130.938263
23,25,-43.5245,19.3977,5.9255,76.222,0.0726,4.2587,124.1943,20.2752,1.4025,172.0295,7.1188,37.2353,236.8685,0.3029,0.7596,321.2262,5.3239,3.3424,351.7248,4.928,3.0981,405.3807,4.0383,1.7331,1241.5068,691.5564,1590.5731,-1.723393464,2.003411,1.265063,134.542511
24,26,-25.8976,36.3508,8.6373,75.6607,1.3112,4.1913,108.8792,23.0941,16.0356,166.0999,10.0558,12.5405,296.9537,3.8624,0.9716,304.1892,0.7698,1.8399,333.804,6.8086,1.0355,437.2588,4.3165,2.372,1032.1793,793.9049,593.1883,-5.057918853,1.979021,1.302269,134.595413
25,27,58.5931,5.3539,4.5585,60.4831,0.3923,3.1141,117.8474,22.9231,3.3725,180.157,12.795,19.5401,232.826,0.0712,0.753,275.8608,4.6204,1.1577,318.475,6.4346,2.5431,395.9382,5.2571,2.8293,1257.5983,697.636,1139.4818,-4.131212085,1.973695,1.262074,132.971176
26,28,60.0776,1.7948,3.1661,75.4327,1.413,3.6117,136.7861,19.3845,19.1057,188.1859,24.4262,2.3824,268.7599,4.8996,0.8618,283.3021,0.0799,0.8129,309.3638,7.8205,1.1191,436.4409,13.0694,0.1843,1117.3058,693.7821,564.9123,-6.018071904,1.933197,1.287574,128.21022
27,29,62.4984,1.9292,3.1514,79.6377,0.4092,2.8684,156.8718,5.048,29.5924,211.673,31.3936,15.8771,271.0801,4.2946,0.4045,281.5697,1.0698,1.1871,308.7656,8.4614,1.1884,474.9807,33.8803,13.5972,1056.8455,616.3095,109.4535,-7.002509592,1.869216,1.300103,122.141312
28,30,33.786,0.5907,1.7607,65.5565,1.1467,1.8301,137.1565,1.4517,1.0949,169.8866,1.0656,13.7062,226.8456,7.6025,19.0208,284.8526,6.0524,0.5104,322.7947,7.2549,2.9567,511.3675,51.7241,24.1129,1274.1108,510.1316,11.8871,-2.189005884,1.796539,1.260743,116.623947
29,31,52.974,0.8568,1.2263,88.2156,0.4465,0.8558,191.9836,0.0887,1.8633,228.4678,0.5586,0.4234,291.8341,4.9812,7.8215,310.1611,2.6125,26.6169,360.4094,4.3874,10.8698,668.6042,7.2654,130.3885,1115.1702,184.5015,114.6372,-2.64118959,1.724197,1.304741,111.23996
30,33,77.3041,1.3693,2.282,110.4493,0.308,1.0034,193.7416,0.1111,0.1693,219.4608,0.9129,2.446,302.6936,4.7827,46.2671,352.7746,4.563,1.3852,373.655,12.9438,16.6148,503.3132,53.9193,75.981,1211.0263,335.5353,38.6073,0.561056691,1.793426,1.277689,106.33287
31,34,85.6951,3.8008,7.5321,119.4016,0.4149,1.4534,191.6538,0.9711,0.1889,239.2636,36.4466,117.0855,307.3483,4.0134,3.7101,360.3201,5.5911,0.5945,380.211,11.9757,7.0135,483.8382,36.8385,45.5749,995.0343,344.5568,42.0659,-6.51543633,1.853266,1.320722,109.697937
32,35,69.0806,1.3763,2.695,93.7639,7.2524,2.6832,178.2341,4.3634,16.6916,200.7795,38.4396,7.1344,252.1298,1.2405,0.337,326.2875,3.9464,0.7036,360.431,13.1881,1.4584,461.1143,21.3383,2.9751,1164.8669,567.1383,88.204,-4.95293643,1.896036,1.277658,120.196388
33,36,66.376,1.4216,2.0543,86.0257,10.7473,3.1763,170.5269,5.7464,18.8641,202.0215,32.5359,3.8387,275.3326,0.1329,0.4145,310.2615,5.1974,1.1292,339.3441,10.012,1.3247,481.0427,10.255,2.2198,1084.2326,561.349,144.4885,-4.929153801,1.893806,1.291691,128.96492
34,37,60.9315,5.9881,2.1365,86.111,6.1602,2.9808,169.9193,2.8354,17.6207,209.1725,34.897,9.2058,279.4215,0.4065,0.5876,307.096,5.4335,0.9454,332.295,10.1075,1.0416,491.102,7.6295,3.202,1037.1425,544.639,134.9175,-4.107366705,1.880472,1.3005,133.244156
35,38,50.7547,3.7544,1.9754,81.4846,2.4062,2.5244,167.2296,1.628,12.5339,198.2247,7.2705,1.0709,230.4448,19.1118,2.8498,292.6809,5.6177,0.586,329.3108,11.4193,1.0558,458.3575,9.0431,1.1055,1204.8968,575.964,292.6585,-2.227911504,1.87499,1.269432,132.982666
36,39,64.0655,2.9039,5.2634,84.3249,1.5823,2.9517,166.4139,0.8177,34.2703,219.7549,15.6649,69.7802,247.702,22.4695,4.9863,288.5431,6.7213,3.2138,315.9227,10.6031,2.1652,476.6053,15.2752,4.2331,1001.9675,484.4004,127.552,-6.385667262,1.845499,1.309617,126.788956
37,40,73.6298,0.3824,2.0279,76.8523,2.3109,2.6491,175.2779,0.0118,7.9122,245.1716,13.7681,41.3517,268.64,4.2069,15.3937,302.5551,15.3775,36.7093,312.7462,8.7323,0.8045,486.1666,21.7788,64.2604,1049.4146,478.0462,5.2417,-6.171937356,1.824592,1.300996,121.56839
38,41,53.1522,0.2543,1.781,73.5155,2.4597,2.2304,179.9362,0.1636,4.5853,198.6891,2.7351,1.5504,274.6261,4.6175,9.8992,309.1292,18.8051,34.9352,323.1303,8.194,0.7553,496.64,31.0294,47.7108,1186.8431,490.8278,3.0814,-2.323732281,1.799658,1.272682,119.916115
